Problem1,InitialLB,Initial UB,Best Solution,Is Optimal,ERR,Run time
,3992,3992,3992,1,0,0
,3992,3992,3992,1,0,0
,3992,3992,3992,1,0,0
,Problem166,,,,,
,3919,3919,3919,1,0,0
,3919,3919,3919,1,0,0
,3919,3919,3919,1,0,0
,Problem167,,,,,
,4011,4011,4011,1,0,0
,4011,4011,4011,1,0,0
,4011,4011,4011,1,0,0
,Problem168,,,,,
,3807,3808,3808,0,0.000262674,120
,3807,3808,3808,0,0.000262674,120
,3807,3808,3808,0,0.000262674,3.818
,Problem169,,,,,
,3866,3871,3871,0,0.00129333,120
,3866,3871,3871,0,0.00129333,120
,3866,3871,3871,0,0.00129333,3.433
,Problem170,,,,,
,3998,3998,3998,1,0,0
,3998,3998,3998,1,0,0
,3998,3998,3998,1,0,0
,Problem171,,,,,
,4021,4021,4021,1,0,0
,4021,4021,4021,1,0,0
,4021,4021,4021,1,0,0
,Problem172,,,,,
,4065,4065,4065,1,0,0
,4065,4065,4065,1,0,0
,4065,4065,4065,1,0,0
,Problem173,,,,,
,4037,4039,4039,0,0.000495417,120
,4037,4039,4039,0,0.000495417,120
,4037,4039,4039,0,0.000495417,3.782
,Problem174,,,,,
,4204,4204,4204,1,0,0
,4204,4204,4204,1,0,0
,4204,4204,4204,1,0,0
,Problem175,,,,,
,3856,3856,3856,1,0,0
,3856,3856,3856,1,0,0
,3856,3856,3856,1,0,0
,Problem176,,,,,
,4005,4012,4005,1,0,0.006
,4005,4012,4005,1,0,0.006
,4005,4012,4005,1,0,0.004
,Problem177,,,,,
,3983,3983,3983,1,0,0
,3983,3983,3983,1,0,0
,3983,3983,3983,1,0,0
,Problem178,,,,,
,4114,4114,4114,1,0,0
,4114,4114,4114,1,0,0
,4114,4114,4114,1,0,0
,Problem179,,,,,
,3830,3830,3830,1,0,0
,3830,3830,3830,1,0,0
,3830,3830,3830,1,0,0
,Problem180,,,,,
,3877,3877,3877,1,0,0
,3877,3877,3877,1,0,0
,3877,3877,3877,1,0,0
,Problem181,,,,,
,7641,7641,7641,1,0,0
,7641,7641,7641,1,0,0
,7641,7641,7641,1,0,0
,Problem182,,,,,
,7612,7612,7612,1,0,0
,7612,7612,7612,1,0,0
,7612,7612,7612,1,0,0
,Problem183,,,,,
,7686,7686,7686,1,0,0
,7686,7686,7686,1,0,0
,7686,7686,7686,1,0,0
,Problem184,,,,,
,7708,7708,7708,1,0,0
,7708,7708,7708,1,0,0
,7708,7708,7708,1,0,0
,Problem185,,,,,
,7571,7571,7571,1,0,0
,7571,7571,7571,1,0,0
,7571,7571,7571,1,0,0
,Problem186,,,,,
,7728,7728,7728,1,0,0
,7728,7728,7728,1,0,0
,7728,7728,7728,1,0,0
,Problem187,,,,,
,7458,7458,7458,1,0,0
,7458,7458,7458,1,0,0
,7458,7458,7458,1,0,0
,Problem188,,,,,
